[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê001.lcd
Output Date	2019/08/13
Output Time	18:42:05

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	37
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.793	1.611	1.963	7279	567	12.830	0.445	   			0.000	373	402.577	0.000	0.000	0.000	0	0	0.000	0.000
2	2.174	1.963	2.251	25328	3944	6.422	1.548	 V 			0.213	3055	49.093	0.000	1.441	0.000	0	0	0.000	0.000
3	2.317	2.251	2.379	11446	2533	4.519	0.699	   			0.292	4204	35.680	0.000	0.952	1.375	0	0	0.000	0.000
4	2.433	2.379	2.592	7009	1020	6.874	0.428	 V 			0.357	1100	136.306	0.000	0.533	1.222	0	0	0.000	0.000
5	5.171	4.971	5.291	6708	574	11.691	0.410	   			1.884	1553	96.592	0.000	6.692	5.276	0	0	0.000	0.000
6	5.412	5.291	5.803	11848	615	19.275	0.724	 V 			2.019	668	224.644	0.000	0.355	1.072	0	0	0.000	0.000
7	6.003	5.803	6.229	11169	637	17.528	0.683	 V 			2.349	1448	103.617	0.000	0.805	1.163	0	0	0.000	0.000
8	6.421	6.229	6.635	29397	1677	17.525	1.797	 V 			2.582	1744	86.010	0.000	0.671	1.099	0	0	0.000	0.000
9	6.832	6.635	7.296	140958	8616	16.361	8.614	 V 			2.811	3808	39.386	0.000	0.776	1.089	0	0	0.000	0.000
10	7.568	7.296	8.544	733341	45815	16.007	44.817	 V 			3.221	5421	27.670	2.040	1.723	1.146	0	0	0.000	0.000
11	8.900	8.715	9.045	4017	329	12.194	0.246	   			3.965	8176	18.347	0.000	3.311	1.231	0	0	0.000	0.000
12	9.272	9.045	9.547	170679	12719	13.419	10.431	 V 			4.172	10170	14.750	0.000	0.977	1.052	0	0	0.000	0.000
13	9.708	9.547	10.197	51876	3792	13.679	3.170	 V 			4.415	10353	14.489	0.000	1.162	1.058	0	0	0.000	0.000
14	10.595	10.400	10.752	1975	157	12.568	0.121	   			4.910	7686	19.517	0.000	2.052	1.112	0	0	0.000	0.000
15	11.104	10.752	11.499	58823	3648	16.125	3.595	 V 			5.194	11458	13.091	1.158	1.131	1.058	0	0	0.000	0.000
16	11.836	11.499	12.000	14526	977	14.865	0.888	 V 			5.602	14533	10.321	0.000	1.814	1.079	0	0	0.000	0.000
17	12.146	12.000	12.405	11884	940	12.644	0.726	 V 			5.775	16876	8.888	0.000	0.810	1.031	0	0	0.000	0.000
18	12.705	12.512	12.928	2376	225	10.541	0.145	   			6.087	28840	5.201	0.939	1.659	1.054	0	0	0.000	0.000
19	13.153	12.960	13.408	2606	234	11.142	0.159	   			6.337	27546	5.446	1.072	1.454	1.041	0	0	0.000	0.000
20	14.215	13.611	14.773	155332	12365	12.562	9.493	   			6.929	30626	4.898	1.078	3.308	1.093	0	0	0.000	0.000
21	15.482	15.232	15.691	10948	911	12.017	0.669	   			7.636	35357	4.242	0.000	3.873	1.102	0	0	0.000	0.000
22	15.787	15.691	15.883	1770	185	9.591	0.108	 V 			7.806	9467	15.845	0.000	0.624	1.022	0	0	0.000	0.000
23	16.030	15.883	16.192	7285	622	11.720	0.445	 V 			7.942	35354	4.243	0.000	0.492	1.017	0	0	0.000	0.000
24	16.382	16.192	16.565	20262	1849	10.960	1.238	 V 			8.138	48007	3.125	0.000	1.099	1.025	0	0	0.000	0.000
25	16.769	16.565	17.077	13500	1104	12.232	0.825	 V 			8.354	37950	3.953	0.000	1.204	1.027	0	0	0.000	0.000
26	17.483	17.301	17.664	2026	201	10.086	0.124	   			8.752	55882	2.684	0.948	2.232	1.048	0	0	0.000	0.000
27	18.023	17.867	18.176	1624	157	10.365	0.099	   			9.053	50169	2.990	0.000	1.748	1.034	0	0	0.000	0.000
28	18.411	18.176	18.517	5371	447	12.012	0.328	 V 			9.270	4301	34.877	0.000	0.536	1.024	0	0	0.000	0.000
29	18.647	18.517	18.869	11146	1008	11.059	0.681	 V 			9.402	46753	3.208	0.000	0.323	1.014	0	0	0.000	0.000
30	19.083	18.891	19.189	2162	191	11.327	0.132	   			9.644	14138	10.610	0.000	0.882	1.026	0	0	0.000	0.000
31	19.352	19.189	19.723	14809	1230	12.040	0.905	 V 			9.795	64606	2.322	0.000	0.570	1.016	0	0	0.000	0.000
32	20.907	20.715	21.067	1512	164	9.244	0.092	   			10.662	83442	1.798	1.016	5.232	1.089	0	0	0.000	0.000
33	22.000	21.675	22.283	65337	6300	10.371	3.993	   			11.271	96461	1.555	0.921	3.816	1.057	0	0	0.000	0.000
34	22.457	22.283	22.720	2109	190	11.109	0.129	   			11.526	78683	1.906	1.024	1.515	1.023	0	0	0.000	0.000
35	23.010	22.763	23.296	8148	741	10.988	0.498	   			11.835	97917	1.532	1.060	1.800	1.027	0	0	0.000	0.000
36	29.510	29.355	29.696	1929	218	8.850	0.118	   			15.461	218713	0.686	1.086	23.786	1.306	0	0	0.000	0.000
37	44.831	44.501	44.981	7788	400	19.454	0.476	   			24.007	162388	0.924	0.727	43.937	1.553	0	0	0.000	0.000

