[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190812\‰–”Z“x•Ê008.lcd
Output Date	2019/08/13
Output Time	18:42:06

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	13
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.840	0.043	2.016	99716	1287	77.489	6.313	   			0.000	8	18223.528	0.000	0.000	0.000	0	0	0.000	0.000
2	2.164	2.016	2.251	25787	4108	6.277	1.633	 V 			0.176	2628	57.081	0.000	0.237	0.000	0	0	0.000	0.000
3	7.561	7.360	7.787	47849	3179	15.051	3.029	 V 			3.109	4835	31.022	0.000	17.877	17.667	0	0	0.000	0.000
4	8.034	7.787	8.597	71894	3311	21.713	4.551	 V 			3.366	3249	46.170	0.000	0.947	1.083	0	0	0.000	0.000
5	8.869	8.597	9.056	27297	1748	15.619	1.728	 V 			3.820	6062	24.744	0.000	1.640	1.135	0	0	0.000	0.000
6	9.297	9.056	10.347	341472	17144	19.917	21.617	 V 			4.052	5975	25.107	1.648	0.912	1.061	0	0	0.000	0.000
7	11.099	10.720	11.648	557522	46738	11.929	35.295	   			5.031	18916	7.930	1.156	4.483	1.242	0	0	0.000	0.000
8	12.691	12.363	12.992	62319	4965	12.551	3.945	   			5.897	23234	6.456	0.000	4.856	1.172	0	0	0.000	0.000
9	14.209	14.027	14.485	26253	2123	12.368	1.662	 V 			6.722	27923	5.372	0.000	4.509	1.140	0	0	0.000	0.000
10	16.376	16.096	16.597	74989	6614	11.338	4.747	 V 			7.900	46304	3.239	0.897	6.727	1.175	0	0	0.000	0.000
11	18.644	18.496	18.933	25637	2227	11.510	1.623	 V 			9.132	47768	3.140	0.000	7.024	1.156	0	0	0.000	0.000
12	19.350	19.008	19.925	40549	3080	13.165	2.567	   			9.516	61658	2.433	1.228	2.162	1.042	0	0	0.000	0.000
13	21.995	21.632	22.240	178332	17209	10.363	11.290	 V 			10.953	96793	1.550	0.920	8.898	1.151	0	0	0.000	0.000

