[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\•W•i001.lcd
Output Date	2019/08/29
Output Time	16:32:59

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	11
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2.153	2.080	2.251	16587	3533	4.695	0.000	   			0.000	3592	41.764	1.284	0.000	0.000	0	0	0.000	0.000
2	7.574	7.349	8.043	71355	4492	15.885	0.000	 V 			2.519	5199	28.849	1.518	19.231	0.000	0	0	0.000	0.000
3	8.347	8.043	9.419	1086163	72661	14.948	0.000	 V 			2.878	7170	20.922	1.406	1.899	1.143	0	0	0.000	0.000
4	10.564	10.325	10.933	11793	861	13.704	0.000	   			3.908	12515	11.986	1.056	5.742	1.358	0	0	0.000	0.000
5	19.686	19.520	19.915	32405	2818	11.500	0.000	 V 			8.146	59170	2.535	0.000	26.010	2.085	0	0	0.000	0.000
6	20.408	20.107	20.544	24150	2189	11.033	0.000	 V 			8.481	62614	2.396	0.000	2.223	1.041	0	0	0.000	0.000
7	20.620	20.544	20.917	12652	1180	10.718	0.000	 V 			8.580	27202	5.514	0.000	0.513	1.012	0	0	0.000	0.000
8	22.397	22.016	22.581	16373	1289	12.706	0.000	   			9.405	71904	2.086	0.000	4.260	1.096	0	0	0.000	0.000
9	22.999	22.581	23.264	626288	61549	10.175	0.000	 V 			9.685	110192	1.361	0.975	1.968	1.030	0	0	0.000	0.000
10	23.423	23.264	23.637	20966	1702	12.315	0.000	 V 			9.882	69827	2.148	0.000	1.345	1.020	0	0	0.000	0.000
11	23.990	23.637	24.213	14200	1212	11.718	0.000	 V 			10.145	106957	1.402	0.000	1.749	1.027	0	0	0.000	0.000

