[Header]
Application Name	LabSolutions
Version	5.71 SP1
Data File Name	C:\LabSolutions\Data\LC-1\ikeda\20190828\‚m‚a‚q‚bŠ”_15d008.lcd
Output Date	2019/08/29
Output Time	16:32:59

[Configuration]
Instrument Name	LC-1_PDA
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	13
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1.397	0.021	1.568	75463	1133	66.600	0.000	   			0.000	0	0.000	0.000	0.000	0.000	0	0	0.000	0.000
2	1.886	1.568	2.080	39784	2155	18.461	0.000	 V 			0.350	803	186.770	0.000	0.000	0.000	0	0	0.000	0.000
3	2.152	2.080	2.251	22349	4296	5.202	0.000	 V 			0.540	2830	53.003	0.000	1.240	1.542	0	0	0.000	0.000
4	7.054	6.880	7.317	12274	642	19.105	0.000	 V 			4.048	2039	73.578	0.000	12.463	7.499	0	0	0.000	0.000
5	7.506	7.317	7.925	57206	3618	15.814	0.000	 V 			4.372	4844	30.967	0.000	0.856	1.080	0	0	0.000	0.000
6	8.309	7.925	9.771	398966	24033	16.601	0.000	SV 			4.947	6617	22.669	2.117	1.913	1.132	0	0	0.000	0.000
7	10.093	9.824	10.379	125493	9499	13.211	0.000	   			6.223	12621	11.885	0.000	4.644	1.258	0	0	0.000	0.000
8	10.545	10.379	10.987	24822	1819	13.644	0.000	 V 			6.547	12155	12.341	0.000	1.220	1.052	0	0	0.000	0.000
9	11.985	11.659	12.480	29569	1788	16.541	0.000	   			7.577	11606	12.924	1.153	3.479	1.157	0	0	0.000	0.000
10	15.233	14.965	15.605	25559	2141	11.939	0.000	   			9.901	35069	4.277	1.087	8.432	1.307	0	0	0.000	0.000
11	19.078	18.795	19.317	12554	974	12.893	0.000	   			12.653	48377	3.101	0.857	11.438	1.278	0	0	0.000	0.000
12	20.143	19.765	20.384	41302	3489	11.836	0.000	   			13.415	69347	2.163	0.000	3.264	1.060	0	0	0.000	0.000
13	21.238	20.917	21.685	28024	2259	12.406	0.000	   			14.199	73459	2.042	1.303	3.534	1.058	0	0	0.000	0.000

